5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
5,2,0
4,3,1
2,6,0
